year,chla,chla_lag1,chla_prevSummer,colour,colour_lag1,colour_prevSummer,cyano,cyano_lag1,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_lag1,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1980,20.773333333333333,12.169126984126985,,,,,,,,351.676638885,242.199218085,,9.575228774456523,51.06190476190477,36.08412698412698,,38.0,33.0
1981,9.5875,7.075,16.471230158730158,,,,,,,216.851553917,282.257779432,102.0,9.937925681228256,34.08333333333333,23.583333333333336,43.573015873015876,41.0,29.0
1982,6.229166666666665,5.466666666666666,8.33125,26.666666666666668,,,,,,297.66815889500003,151.00623331399999,105.0,10.870945072184783,18.895833333333332,37.77777777777778,28.833333333333332,28.0,47.0
1983,6.166666666666667,5.98,5.8479166666666655,14.666666666666666,19.4,26.666666666666668,,,,275.60668996699985,182.72881749700005,121.0,10.877161553793483,26.149999999999995,31.96,28.336805555555557,25.0,51.0
1984,11.95,10.23,6.073333333333334,,,17.03333333333333,,,,317.230629423,255.82062942299987,121.0,10.635043035782612,25.695,27.360000000000003,29.055,35.0,31.0
1985,13.333333333333332,9.97777777777778,11.09,34.625,34.11111111111111,,,,,325.8028463649999,236.49391209300006,138.0,9.159237285695653,26.725,36.6,26.527500000000003,39.0,40.0
1986,14.444444444444443,10.911111111111111,11.655555555555555,23.5,31.444444444444446,34.36805555555556,,,,260.52630725899996,163.43724397199998,123.0,8.234217844891301,34.24444444444445,33.333333333333336,31.6625,36.0,35.0
1987,10.755555555555555,6.266666666666667,12.677777777777777,30.166666666666668,27.88888888888889,27.47222222222222,,,,451.1648577099998,251.6964492850001,114.0,9.05069452652174,22.399999999999995,24.46666666666667,33.78888888888889,35.0,38.0
1988,15.255555555555555,12.855555555555556,8.511111111111111,36.77777777777778,27.777777777777775,29.02777777777778,,,,359.9826502690001,300.1217657060001,150.0,9.694650756086952,27.866666666666664,31.2,23.43333333333333,38.0,34.0
1989,21.233333333333334,9.05,14.055555555555555,22.666666666666668,24.75,32.27777777777778,,,,212.76265266899992,184.135274939,134.0,9.659623756141304,26.333333333333332,27.599999999999998,29.53333333333333,43.0,36.0
1990,15.700000000000001,9.649999999999999,15.141666666666667,17.333333333333332,21.75,23.708333333333336,,,,225.279694272,170.05171463600007,129.0,9.739488104260872,28.899999999999995,28.900000000000002,26.966666666666665,33.0,39.0
1991,10.275,8.575,12.675,19.5,21.75,19.541666666666664,,,,233.719178675,182.15018411200003,137.0,10.486401117184782,28.474999999999998,25.974999999999998,28.9,41.0,34.0
1992,20.833333333333332,13.7,9.425,16.0,25.25,20.625,,,,247.07326167000002,132.57916957199998,141.0,8.533317835750005,29.86666666666667,32.45,27.224999999999998,37.0,35.0
1993,16.966666666666665,9.350000000000001,17.266666666666666,26.333333333333332,23.0,20.625,,,,272.94875109,217.24269529100005,119.0,7.744684654260867,30.266666666666666,25.075,31.15833333333334,44.0,33.0
1994,27.066666666666666,11.649999999999999,13.158333333333333,23.0,31.25,24.666666666666664,,,,333.2526542420001,61.71793527200001,143.0,9.62521552577174,32.800000000000004,28.675,27.670833333333334,39.0,31.0
1995,23.200000000000003,20.566666666666666,19.358333333333334,23.333333333333332,28.333333333333332,27.125,,,,228.157027947,210.53463110900003,165.0,11.812380124521736,32.800000000000004,26.099999999999998,30.737500000000004,34.0,40.0
1996,18.666666666666668,23.933333333333334,21.883333333333333,15.0,20.333333333333332,25.833333333333332,4.233333333333333,2.1233333333333335,,288.3925703759999,172.12987558600008,148.0,10.988608220793475,31.76666666666667,30.8,29.450000000000003,45.0,33.0
1997,25.099999999999998,21.03333333333333,21.3,17.333333333333332,20.666666666666668,17.666666666666664,2.0866666666666664,1.3166666666666667,3.1783333333333337,236.68424849900006,180.95761478200004,159.0,11.473125776152175,29.233333333333334,29.599999999999998,31.283333333333335,43.0,28.0
1998,23.433333333333337,18.766666666666666,23.066666666666663,,,19.0,1.68,0.8933333333333332,1.7016666666666667,316.70589340199996,210.34744419000003,147.0,9.789670545304348,38.03333333333334,26.7,29.416666666666664,37.0,32.0
1999,,,21.1,49.15384615384615,51.69230769230769,,3.3833333333333333,0.77,1.2866666666666666,334.1675822780001,291.151700398,158.0,11.182752403336956,,,32.36666666666667,44.0,26.0
2000,27.233333333333334,17.099999999999998,,35.416666666666664,49.15384615384615,50.42307692307692,1.7787499999999998,0.19666666666666666,2.0766666666666667,384.43468243500007,248.36199442299994,144.0,10.939770848141304,30.666666666666668,34.666666666666664,,37.0,33.0
2001,20.5,21.566666666666663,22.166666666666664,63.53846153846154,73.3076923076923,42.28525641025641,0.49466666666666664,0.29833333333333334,0.9877083333333332,346.720759279,185.76768162199994,147.0,11.357762359641304,31.666666666666668,45.0,32.666666666666664,38.0,31.0
2002,28.0,23.0,21.03333333333333,49.46153846153846,59.69230769230769,68.42307692307692,0.5526666666666666,0.5720000000000001,0.39649999999999996,212.98631914400005,320.827473462,159.0,11.002360451880435,31.333333333333332,42.0,38.333333333333336,57.0,22.0
2003,15.125,19.083333333333332,25.5,37.75,48.0,54.57692307692308,0.8919999999999999,0.648,0.5623333333333334,129.30380471,272.53285883199993,124.0,10.078809885250006,35.25,31.333333333333332,36.666666666666664,35.0,34.0
2004,14.866666666666667,36.333333333333336,17.104166666666664,38.666666666666664,38.666666666666664,42.875,0.42799999999999994,2.5046666666666666,0.77,377.920815484,191.0656472809999,150.0,11.133007253086953,33.333333333333336,40.333333333333336,33.291666666666664,43.0,28.0
2005,22.599999999999998,18.16923076923077,25.6,39.666666666666664,53.333333333333336,38.666666666666664,1.6217294133333333,1.1172948933333333,1.4663333333333333,243.593437062,234.12120388600002,145.0,11.399854026141302,35.125,29.615384615384617,36.833333333333336,28.0,33.0
2006,38.8,22.264285714285712,20.384615384615383,33.5,55.75,46.5,3.399281664,0.9441994285714286,1.3695121533333334,354.33005712799996,196.168084071,164.0,13.135440069250006,39.9,30.642857142857142,32.37019230769231,55.0,17.0
2007,18.166666666666668,17.73846153846154,30.532142857142855,59.0,70.33333333333333,44.625,1.1846367,1.6125406624999998,2.1717405462857142,205.84139912100005,357.39982618700003,157.0,11.093175407271737,31.583333333333332,32.69230769230769,35.27142857142857,34.0,38.0
2008,15.227272727272727,16.446153846153848,17.952564102564104,85.0,58.333333333333336,64.66666666666666,0.26422031666666673,0.19648414714285714,1.39858868125,355.676229847,223.24659292499996,164.0,10.709235614489128,29.545454545454547,35.46153846153846,32.13782051282051,45.0,26.0
2009,16.258333333333333,16.436363636363637,15.836713286713287,54.25,63.666666666666664,71.66666666666667,0.5058229768666667,0.49294866183333336,0.23035223190476195,263.925036837,236.727380031,137.0,10.44568163433696,28.666666666666668,29.272727272727273,32.50349650349651,42.0,29.0
2010,9.09,13.7,16.347348484848485,59.333333333333336,63.5,58.95833333333333,0.0870066,0.06991657142857143,0.49938581935000004,307.28804007500014,243.78339129200003,159.0,10.342934330619565,23.6,28.46153846153846,28.96969696969697,42.0,34.0
2011,8.875,15.246153846153845,11.395,76.64285714285714,68.84615384615384,61.41666666666667,0.026155833333333336,0.03280607142857143,0.07846158571428571,419.137897827,308.51362378399995,135.0,11.715487513913047,26.416666666666668,26.692307692307693,26.03076923076923,36.0,35.0
2012,11.430000000000001,15.623076923076923,12.060576923076923,65.38461538461539,62.92307692307692,72.74450549450549,0.12353839999999998,0.015106,0.029480952380952382,373.7559785329999,290.1019707169999,142.0,10.211138624445649,24.6,27.76923076923077,26.554487179487182,28.0,39.0
2013,13.016666666666667,15.1,13.526538461538461,48.23333333333333,70.5,64.15384615384616,0.29897185600000004,0.13924837271428572,0.06932219999999999,249.61240594499998,271.04800603000007,132.0,11.121038620369573,23.0,22.985714285714288,26.184615384615384,42.0,27.0
2014,11.766666666666666,13.433333333333332,14.058333333333334,34.82,47.73333333333334,59.36666666666666,0.10761978133333334,0.11565658150000001,0.2191101143571429,492.7671004560001,159.853964134,145.0,11.974417337195652,18.866666666666667,21.733333333333334,22.992857142857144,41.0,31.0
2015,15.25,14.6,12.599999999999998,57.333333333333336,48.333333333333336,41.27666666666667,0.11645433699999999,0.058834507833333334,0.11163818141666668,363.1072621939999,313.30353361000004,146.0,11.334738712206526,26.333333333333332,22.166666666666668,20.3,36.0,36.0
2016,11.219999999999999,8.233333333333333,14.925,50.0,52.5,52.833333333333336,0.13950312473333332,0.031230039166666668,0.08764442241666666,211.46598364699994,180.73523569199992,158.0,11.40925294735869,16.583333333333332,20.916666666666668,24.25,25.0,43.0
2017,12.14,13.385714285714286,9.726666666666667,,,51.25,0.164512904,0.08411289200000001,0.08536658194999999,394.4719787409998,195.85459838600008,134.0,10.806993384826084,,,18.75,31.0,39.0
