year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1980,12.169126983833335,,,,,,234.73298576799996,79.892563452,,15.38182872952174,36.084126985000005,,43.0,24.0
1981,7.075,16.471230158916665,,,,,277.5573128609999,104.66002263099999,54.0,14.131170123402176,23.583333335,43.57301587333334,28.0,41.0
1982,5.466666666666666,8.33125,,,,,158.725612669,177.090691559,70.0,14.47772464193478,37.77777777666667,28.833333335,25.0,36.0
1983,5.98,5.8479166666666655,19.4,26.666666666666668,,,190.72365721100005,123.26220338699999,70.0,14.588269706934778,31.96,28.336805554583336,23.0,47.0
1984,10.23,6.073333333333334,,17.03333333333333,,,247.10535462300004,71.449448471,52.0,14.832074699249992,27.360000000000003,29.055,17.0,48.0
1985,9.977777777666667,11.09,34.11111111,,,,237.12817411500004,174.08196078100002,66.0,14.29097398177174,36.60000000333333,26.527500000000003,33.0,34.0
1986,10.91111111,11.655555555083334,31.444444446666665,34.368055555,,,157.605420073,123.525222786,54.0,14.798631147771733,33.333333333333336,31.662500001666665,11.0,63.0
1987,6.266666666666667,12.677777776666666,27.88888889,27.472222223333333,,,256.33585837400005,158.07003645199998,71.0,12.806458453880433,24.46666666666667,33.78888889,33.0,32.0
1988,12.855555556666667,8.511111111166667,27.777777776666667,29.027777778333334,,,288.426396308,255.111442149,88.0,15.743091441108694,31.2,23.43333333333333,30.0,31.0
1989,9.05,14.055555556666668,24.75,32.27777777666667,,,179.90925877399997,260.2513244390001,55.0,14.826893244043479,27.599999999999998,29.53333333333333,15.0,47.0
1990,9.649999999999999,15.141666666666667,21.75,23.708333333333336,,,174.55386065700011,221.509069557,71.0,15.07734662466304,28.900000000000002,26.966666666666665,18.0,44.0
1991,8.575,12.675,21.75,19.541666666666664,,,164.324488292,114.713724637,59.0,13.89821716027174,25.974999999999998,28.9,28.0,43.0
1992,13.7,9.425,25.25,20.625,,,131.654156546,177.084014929,53.0,16.160273793836954,32.45,27.224999999999998,18.0,46.0
1993,9.350000000000001,17.266666666666666,23.0,20.625,,,223.58935445400002,80.29477058,49.0,14.060785755489132,25.075,31.15833333333334,24.0,39.0
1994,11.649999999999999,13.158333333333333,31.25,24.666666666666664,,,57.3509345,166.635496414,66.0,15.222773273760872,28.675,27.670833333333334,17.0,50.0
1995,20.566666666666666,19.358333333333334,28.333333333333332,27.125,,,204.725441187,215.38621408900008,73.0,14.069588209652174,26.099999999999998,30.737500000000004,27.0,35.0
1996,23.933333333333334,21.883333333333333,20.333333333333332,25.833333333333332,4.42,,175.53040840700004,53.116438754,37.0,13.072271623010868,30.8,29.450000000000003,26.0,40.0
1997,21.03333333333333,21.3,20.666666666666668,17.666666666666664,1.92,4.609999999999999,178.41863189800006,124.69172408399997,56.0,14.993781180032606,29.599999999999998,31.283333333333335,35.0,25.0
1998,18.766666666666666,23.066666666666663,,19.0,1.98,2.37,212.9506269589999,196.813877367,59.0,13.599069058043481,26.7,29.416666666666664,26.0,36.0
1999,,21.1,51.69230769230769,,1.07,2.13,296.06565662,261.119208406,73.0,13.772847375913045,,32.36666666666667,19.0,44.0
2000,17.099999999999998,,49.15384615384615,50.42307692307692,0.473,3.515,253.31299860700003,187.549575129,61.0,14.180373587076089,34.666666666666664,,25.0,40.0
2001,21.566666666666663,22.166666666666664,73.3076923076923,42.28525641025641,0.491,2.5715,186.70500976500003,198.622267463,96.0,14.879378297032607,45.0,32.666666666666664,16.0,42.0
2002,23.0,21.03333333333333,59.69230769230769,68.42307692307692,0.982,0.5355,329.36695427599994,156.854535972,61.0,15.648925776565216,42.0,38.333333333333336,27.0,38.0
2003,19.083333333333332,25.5,48.0,54.57692307692308,1.119,0.8634999999999999,283.21871062499997,163.598145147,45.0,15.169215640391304,31.333333333333332,36.666666666666664,25.0,35.0
2004,36.333333333333336,17.104166666666664,38.666666666666664,42.875,5.26,1.205,177.53632830200004,155.46381353499999,62.0,14.284772042336956,40.333333333333336,33.291666666666664,20.0,37.0
2005,18.16923076923077,25.6,53.333333333333336,38.666666666666664,2.9941368,2.916,231.48663641899995,74.73742515400001,57.0,14.45047758202174,29.615384615384617,36.833333333333336,30.0,31.0
2006,22.264285714285712,20.384615384615383,55.75,46.5,3.0685680000000004,3.0283744,192.24982046699998,199.95304212100004,65.0,15.961499182228252,30.642857142857142,32.37019230769231,37.0,30.0
2007,17.73846153846154,30.532142857142855,70.33333333333333,44.625,3.5878505,3.81440016,354.28755528000005,131.084296413,80.0,14.991448860413046,32.69230769230769,35.27142857142857,43.0,24.0
2008,16.446153846153848,17.952564102564104,58.333333333333336,64.66666666666666,0.5591499999999999,3.15333025,231.57676713099997,227.90449778800001,60.0,15.352223576021741,35.46153846153846,32.13782051282051,46.0,23.0
2009,16.436363636363637,15.836713286713287,63.666666666666664,71.66666666666667,1.43788788,0.6489535,224.56082484199996,150.12008072200004,60.0,15.2764776477826,29.272727272727273,32.50349650349651,34.0,28.0
2010,13.7,16.347348484848485,63.5,58.95833333333333,0.16061,1.51199855,236.40363182700003,140.752382461,61.0,14.813466888749996,28.46153846153846,28.96969696969697,32.0,28.0
2011,15.246153846153845,11.395,68.84615384615384,61.41666666666667,0.07919499999999999,0.19236275,312.39723025099994,127.40869966700002,48.0,15.116381213467385,26.692307692307693,26.03076923076923,39.0,28.0
2012,15.623076923076923,12.060576923076923,62.92307692307692,72.74450549450549,0.04578,0.06478249999999999,277.5206129070001,116.23452871000002,44.0,14.148871512565215,27.76923076923077,26.554487179487182,24.0,36.0
2013,15.1,13.526538461538461,70.5,64.15384615384616,0.360480578,0.1282915,255.96350526799992,81.52537807899999,60.0,15.506308065619567,22.985714285714288,26.184615384615384,16.0,49.0
2014,13.433333333333332,14.058333333333334,47.73333333333334,59.36666666666666,0.28333621,0.447370899,151.17974869,271.310872751,94.0,16.11709879215217,21.733333333333334,22.992857142857144,34.0,27.0
2015,14.6,12.599999999999998,48.333333333333336,41.27666666666667,0.10655109,0.23661634999999998,314.06778695300005,163.404026484,83.0,13.199104868326085,22.166666666666668,20.3,17.0,52.0
2016,8.233333333333333,14.925,52.5,52.833333333333336,0.08020658500000001,0.169616295,173.79631035899996,251.12680394899996,62.0,15.560384140152168,20.916666666666668,24.25,20.0,42.0
2017,13.385714285714286,9.726666666666667,43.333333333333336,51.25,0.231833969,0.1232936982,184.27286060900002,144.22578389900002,46.0,14.775738789,19.142857142857142,18.75,24.0,37.0
2018,9.842857142857143,12.762857142857143,45.0,42.0,0.388232245,0.245082827,82.34600527100002,98.88919240199999,65.0,18.45313467728261,18.857142857142858,19.771428571428572,21.0,33.0
2019,,10.92142857142857,,36.333333333333336,,0.50133081,199.18283495299994,190.22760969399994,57.0,12.88137366965,,18.628571428571426,12.0,25.0
